scenario,scenario_label,sector,subsector,technology,canonical_technology,capital_premium,fixedOM_premium,variableOM_premium,factor_source,capital_formal_use,fixedOM_formal_use,variableOM_formal_use,source_ids,assumption_ids,keep_variable_OM_unchanged,mapping_note
mid,HK_cost_premium_mid,base load generation,nuclear,nuc_base_Gen III,neutral_not_applicable,1,1,1,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_neutral_not_applicable,no,No Hong Kong local-premium evidence or not a local HK build option; kept cost-neutral.
high,HK_cost_premium_high,base load generation,nuclear,nuc_base_Gen III,neutral_not_applicable,1,1,1,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_neutral_not_applicable,no,No Hong Kong local-premium evidence or not a local HK build option; kept cost-neutral.
low,HK_cost_premium_low,base load generation,refined liquids,refined liquids_base_CC,refined_liquids,1.15,1.1,1,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_refined_liquids,no,Fallback from prior premium-reference MD: refined liquids; assumption only.
mid,HK_cost_premium_mid,base load generation,refined liquids,refined liquids_base_CC,refined_liquids,1.225,1.15,1.05,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_refined_liquids,no,Fallback from prior premium-reference MD: refined liquids; assumption only.
high,HK_cost_premium_high,base load generation,refined liquids,refined liquids_base_CC,refined_liquids,1.3,1.2,1.1,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_refined_liquids,no,Fallback from prior premium-reference MD: refined liquids; assumption only.
low,HK_cost_premium_low,base load generation,refined liquids,refined liquids_base_CC_CCS,refined_liquids_CCS,1.25,1.2,1.15,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_refined_liquids_CCS,no,Fallback from prior premium-reference MD: CCS fossil technology; assumption only.
mid,HK_cost_premium_mid,base load generation,refined liquids,refined liquids_base_CC_CCS,refined_liquids_CCS,1.375,1.275,1.25,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_refined_liquids_CCS,no,Fallback from prior premium-reference MD: CCS fossil technology; assumption only.
high,HK_cost_premium_high,base load generation,refined liquids,refined liquids_base_CC_CCS,refined_liquids_CCS,1.5,1.35,1.35,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_refined_liquids_CCS,no,Fallback from prior premium-reference MD: CCS fossil technology; assumption only.
low,HK_cost_premium_low,base load generation,refined liquids,refined liquids_base_steam/CT,refined_liquids,1.15,1.1,1,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_refined_liquids,no,Fallback from prior premium-reference MD: refined liquids; assumption only.
mid,HK_cost_premium_mid,base load generation,refined liquids,refined liquids_base_steam/CT,refined_liquids,1.225,1.15,1.05,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_refined_liquids,no,Fallback from prior premium-reference MD: refined liquids; assumption only.
high,HK_cost_premium_high,base load generation,refined liquids,refined liquids_base_steam/CT,refined_liquids,1.3,1.2,1.1,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_refined_liquids,no,Fallback from prior premium-reference MD: refined liquids; assumption only.
low,HK_cost_premium_low,base load generation,solar,CSP_base_storage,CSP_not_recommended,1,1,1,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_CSP_not_recommended,no,CSP was not recommended in v3 due to Hong Kong applicability; kept cost-neutral to avoid arbitrary premium.
mid,HK_cost_premium_mid,base load generation,solar,CSP_base_storage,CSP_not_recommended,1,1,1,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_CSP_not_recommended,no,CSP was not recommended in v3 due to Hong Kong applicability; kept cost-neutral to avoid arbitrary premium.
high,HK_cost_premium_high,base load generation,solar,CSP_base_storage,CSP_not_recommended,1,1,1,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_CSP_not_recommended,no,CSP was not recommended in v3 due to Hong Kong applicability; kept cost-neutral to avoid arbitrary premium.
low,HK_cost_premium_low,base load generation,solar,PV_base_storage,solar_PV_plus_battery_storage,1.44,1.57,1,v3_final_recommended_matrix.csv,screening,screening,screening,S_IRENA_2023;S_NREL_ATB_2024;S_V3_ASSUMPTIONS,A_PV_STORAGE_BESS_capital;A_PV_STORAGE_BESS_fixed_OM;A_PV_STORAGE_BESS_variable_OM;A_PV_STORAGE_GEN_capital;A_PV_STORAGE_GEN_fixed_OM;A_PV_STORAGE_GEN_variable_OM,yes,Composite PV+BESS component formula.
mid,HK_cost_premium_mid,base load generation,solar,PV_base_storage,solar_PV_plus_battery_storage,1.74,1.79,1,v3_final_recommended_matrix.csv,screening,screening,screening,S_IRENA_2023;S_NREL_ATB_2024;S_V3_ASSUMPTIONS,A_PV_STORAGE_BESS_capital;A_PV_STORAGE_BESS_fixed_OM;A_PV_STORAGE_BESS_variable_OM;A_PV_STORAGE_GEN_capital;A_PV_STORAGE_GEN_fixed_OM;A_PV_STORAGE_GEN_variable_OM,yes,Composite PV+BESS component formula.
high,HK_cost_premium_high,base load generation,solar,PV_base_storage,solar_PV_plus_battery_storage,2.07,2.16,1,v3_final_recommended_matrix.csv,screening,screening,screening,S_IRENA_2023;S_NREL_ATB_2024;S_V3_ASSUMPTIONS,A_PV_STORAGE_BESS_capital;A_PV_STORAGE_BESS_fixed_OM;A_PV_STORAGE_BESS_variable_OM;A_PV_STORAGE_GEN_capital;A_PV_STORAGE_GEN_fixed_OM;A_PV_STORAGE_GEN_variable_OM,yes,Composite PV+BESS component formula.
low,HK_cost_premium_low,intermediate generation,biomass,biomass_int_IGCC,biomass_IGCC,1.05,1.05,1.05,v3_final_recommended_matrix.csv,model_assumption_only,model_assumption_only,model_assumption_only,S_EIA_CAPCOST_2024;S_HK_EPD_IWMF;S_V3_ASSUMPTIONS,A_biomass_IGCC_capital;A_biomass_IGCC_fixed_OM;A_biomass_IGCC_variable_OM,no,No Hong Kong comparator; model assumption only.
mid,HK_cost_premium_mid,intermediate generation,biomass,biomass_int_IGCC,biomass_IGCC,1.2,1.2,1.2,v3_final_recommended_matrix.csv,model_assumption_only,model_assumption_only,model_assumption_only,S_EIA_CAPCOST_2024;S_HK_EPD_IWMF;S_V3_ASSUMPTIONS,A_biomass_IGCC_capital;A_biomass_IGCC_fixed_OM;A_biomass_IGCC_variable_OM,no,No Hong Kong comparator; model assumption only.
high,HK_cost_premium_high,intermediate generation,biomass,biomass_int_IGCC,biomass_IGCC,1.5,1.5,1.5,v3_final_recommended_matrix.csv,model_assumption_only,model_assumption_only,model_assumption_only,S_EIA_CAPCOST_2024;S_HK_EPD_IWMF;S_V3_ASSUMPTIONS,A_biomass_IGCC_capital;A_biomass_IGCC_fixed_OM;A_biomass_IGCC_variable_OM,no,No Hong Kong comparator; model assumption only.
low,HK_cost_premium_low,intermediate generation,biomass,biomass_int_IGCC_CCS,biomass_IGCC_CCS,1.1,1.1,1.1,v3_final_recommended_matrix.csv,model_assumption_only,model_assumption_only,model_assumption_only,S_EIA_CAPCOST_2024;S_HK_EPD_IWMF;S_V3_ASSUMPTIONS,A_biomass_IGCC_CCS_capital;A_biomass_IGCC_CCS_fixed_OM;A_biomass_IGCC_CCS_variable_OM,no,No Hong Kong comparator; model assumption only.
mid,HK_cost_premium_mid,intermediate generation,biomass,biomass_int_IGCC_CCS,biomass_IGCC_CCS,1.25,1.25,1.25,v3_final_recommended_matrix.csv,model_assumption_only,model_assumption_only,model_assumption_only,S_EIA_CAPCOST_2024;S_HK_EPD_IWMF;S_V3_ASSUMPTIONS,A_biomass_IGCC_CCS_capital;A_biomass_IGCC_CCS_fixed_OM;A_biomass_IGCC_CCS_variable_OM,no,No Hong Kong comparator; model assumption only.
high,HK_cost_premium_high,intermediate generation,biomass,biomass_int_IGCC_CCS,biomass_IGCC_CCS,1.55,1.55,1.55,v3_final_recommended_matrix.csv,model_assumption_only,model_assumption_only,model_assumption_only,S_EIA_CAPCOST_2024;S_HK_EPD_IWMF;S_V3_ASSUMPTIONS,A_biomass_IGCC_CCS_capital;A_biomass_IGCC_CCS_fixed_OM;A_biomass_IGCC_CCS_variable_OM,no,No Hong Kong comparator; model assumption only.
low,HK_cost_premium_low,intermediate generation,biomass,biomass_int_conv,biomass_conv,1.15,1.15,1.15,v3_final_recommended_matrix.csv,model_assumption_only,model_assumption_only,model_assumption_only,S_EIA_CAPCOST_2024;S_HK_EPD_IWMF;S_V3_ASSUMPTIONS,A_biomass_conv_capital;A_biomass_conv_fixed_OM;A_biomass_conv_variable_OM,no,GCAM load variant inherits same biomass combustion multiplier.
mid,HK_cost_premium_mid,intermediate generation,biomass,biomass_int_conv,biomass_conv,1.35,1.35,1.35,v3_final_recommended_matrix.csv,model_assumption_only,model_assumption_only,model_assumption_only,S_EIA_CAPCOST_2024;S_HK_EPD_IWMF;S_V3_ASSUMPTIONS,A_biomass_conv_capital;A_biomass_conv_fixed_OM;A_biomass_conv_variable_OM,no,GCAM load variant inherits same biomass combustion multiplier.
high,HK_cost_premium_high,intermediate generation,biomass,biomass_int_conv,biomass_conv,1.7,1.7,1.7,v3_final_recommended_matrix.csv,model_assumption_only,model_assumption_only,model_assumption_only,S_EIA_CAPCOST_2024;S_HK_EPD_IWMF;S_V3_ASSUMPTIONS,A_biomass_conv_capital;A_biomass_conv_fixed_OM;A_biomass_conv_variable_OM,no,GCAM load variant inherits same biomass combustion multiplier.
low,HK_cost_premium_low,intermediate generation,biomass,biomass_int_conv_CCS,biomass_conv_CCS,1.1,1.1,1.1,v3_final_recommended_matrix.csv,model_assumption_only,model_assumption_only,model_assumption_only,S_EIA_CAPCOST_2024;S_HK_EPD_IWMF;S_V3_ASSUMPTIONS,A_biomass_conv_CCS_capital;A_biomass_conv_CCS_fixed_OM;A_biomass_conv_CCS_variable_OM,no,No Hong Kong comparator; model assumption only.
mid,HK_cost_premium_mid,intermediate generation,biomass,biomass_int_conv_CCS,biomass_conv_CCS,1.25,1.25,1.25,v3_final_recommended_matrix.csv,model_assumption_only,model_assumption_only,model_assumption_only,S_EIA_CAPCOST_2024;S_HK_EPD_IWMF;S_V3_ASSUMPTIONS,A_biomass_conv_CCS_capital;A_biomass_conv_CCS_fixed_OM;A_biomass_conv_CCS_variable_OM,no,No Hong Kong comparator; model assumption only.
high,HK_cost_premium_high,intermediate generation,biomass,biomass_int_conv_CCS,biomass_conv_CCS,1.55,1.55,1.55,v3_final_recommended_matrix.csv,model_assumption_only,model_assumption_only,model_assumption_only,S_EIA_CAPCOST_2024;S_HK_EPD_IWMF;S_V3_ASSUMPTIONS,A_biomass_conv_CCS_capital;A_biomass_conv_CCS_fixed_OM;A_biomass_conv_CCS_variable_OM,no,No Hong Kong comparator; model assumption only.
low,HK_cost_premium_low,intermediate generation,coal,coal_int_IGCC,coal_IGCC,1.05,1.05,1.05,v3_final_recommended_matrix.csv,model_assumption_only,model_assumption_only,model_assumption_only,S_EIA_CAPCOST_2024;S_HK_EPD_IWMF;S_V3_ASSUMPTIONS,A_coal_IGCC_capital;A_coal_IGCC_fixed_OM;A_coal_IGCC_variable_OM,no,No Hong Kong IGCC evidence; model assumption only.
mid,HK_cost_premium_mid,intermediate generation,coal,coal_int_IGCC,coal_IGCC,1.2,1.2,1.2,v3_final_recommended_matrix.csv,model_assumption_only,model_assumption_only,model_assumption_only,S_EIA_CAPCOST_2024;S_HK_EPD_IWMF;S_V3_ASSUMPTIONS,A_coal_IGCC_capital;A_coal_IGCC_fixed_OM;A_coal_IGCC_variable_OM,no,No Hong Kong IGCC evidence; model assumption only.
high,HK_cost_premium_high,intermediate generation,coal,coal_int_IGCC,coal_IGCC,1.5,1.5,1.5,v3_final_recommended_matrix.csv,model_assumption_only,model_assumption_only,model_assumption_only,S_EIA_CAPCOST_2024;S_HK_EPD_IWMF;S_V3_ASSUMPTIONS,A_coal_IGCC_capital;A_coal_IGCC_fixed_OM;A_coal_IGCC_variable_OM,no,No Hong Kong IGCC evidence; model assumption only.
low,HK_cost_premium_low,intermediate generation,coal,coal_int_IGCC_CCS,coal_IGCC_CCS,1.1,1.1,1.1,v3_final_recommended_matrix.csv,model_assumption_only,model_assumption_only,model_assumption_only,S_EIA_CAPCOST_2024;S_HK_EPD_IWMF;S_V3_ASSUMPTIONS,A_coal_IGCC_CCS_capital;A_coal_IGCC_CCS_fixed_OM;A_coal_IGCC_CCS_variable_OM,no,No Hong Kong IGCC/CCS evidence; model assumption only.
mid,HK_cost_premium_mid,intermediate generation,coal,coal_int_IGCC_CCS,coal_IGCC_CCS,1.25,1.25,1.25,v3_final_recommended_matrix.csv,model_assumption_only,model_assumption_only,model_assumption_only,S_EIA_CAPCOST_2024;S_HK_EPD_IWMF;S_V3_ASSUMPTIONS,A_coal_IGCC_CCS_capital;A_coal_IGCC_CCS_fixed_OM;A_coal_IGCC_CCS_variable_OM,no,No Hong Kong IGCC/CCS evidence; model assumption only.
high,HK_cost_premium_high,intermediate generation,coal,coal_int_IGCC_CCS,coal_IGCC_CCS,1.55,1.55,1.55,v3_final_recommended_matrix.csv,model_assumption_only,model_assumption_only,model_assumption_only,S_EIA_CAPCOST_2024;S_HK_EPD_IWMF;S_V3_ASSUMPTIONS,A_coal_IGCC_CCS_capital;A_coal_IGCC_CCS_fixed_OM;A_coal_IGCC_CCS_variable_OM,no,No Hong Kong IGCC/CCS evidence; model assumption only.
low,HK_cost_premium_low,intermediate generation,coal,coal_int_conv pul,coal_conv_pul,1.2,1.15,1.1,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_coal_conv_pul,no,Fallback from prior premium-reference MD: coal conventional; assumption only.
mid,HK_cost_premium_mid,intermediate generation,coal,coal_int_conv pul,coal_conv_pul,1.3,1.225,1.2,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_coal_conv_pul,no,Fallback from prior premium-reference MD: coal conventional; assumption only.
high,HK_cost_premium_high,intermediate generation,coal,coal_int_conv pul,coal_conv_pul,1.4,1.3,1.3,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_coal_conv_pul,no,Fallback from prior premium-reference MD: coal conventional; assumption only.
low,HK_cost_premium_low,intermediate generation,coal,coal_int_conv pul_CCS,coal_conv_pul_CCS,1.1,1.1,1.1,v3_final_recommended_matrix.csv,model_assumption_only,model_assumption_only,model_assumption_only,S_EIA_CAPCOST_2024;S_HK_EPD_IWMF;S_V3_ASSUMPTIONS,A_coal_conv_pul_CCS_capital;A_coal_conv_pul_CCS_fixed_OM;A_coal_conv_pul_CCS_variable_OM,no,No current Hong Kong coal new-build evidence; do not use as evidence.
mid,HK_cost_premium_mid,intermediate generation,coal,coal_int_conv pul_CCS,coal_conv_pul_CCS,1.25,1.25,1.25,v3_final_recommended_matrix.csv,model_assumption_only,model_assumption_only,model_assumption_only,S_EIA_CAPCOST_2024;S_HK_EPD_IWMF;S_V3_ASSUMPTIONS,A_coal_conv_pul_CCS_capital;A_coal_conv_pul_CCS_fixed_OM;A_coal_conv_pul_CCS_variable_OM,no,No current Hong Kong coal new-build evidence; do not use as evidence.
high,HK_cost_premium_high,intermediate generation,coal,coal_int_conv pul_CCS,coal_conv_pul_CCS,1.55,1.55,1.55,v3_final_recommended_matrix.csv,model_assumption_only,model_assumption_only,model_assumption_only,S_EIA_CAPCOST_2024;S_HK_EPD_IWMF;S_V3_ASSUMPTIONS,A_coal_conv_pul_CCS_capital;A_coal_conv_pul_CCS_fixed_OM;A_coal_conv_pul_CCS_variable_OM,no,No current Hong Kong coal new-build evidence; do not use as evidence.
low,HK_cost_premium_low,intermediate generation,gas,gas_int_CC,gas_intermediate_steam_CT,1.25,1.5,1.33,v3_final_recommended_matrix.csv,screening,screening,screening,S_CLP_BLACK_POINT;S_EIA_CAPCOST_2024;S_HKE_LAMMA_GEN,A_GAS_INT_capital;A_GAS_INT_fixed_OM;A_GAS_INT_variable_OM,no,GCAM name ambiguous; CCGT basis used with mapping uncertainty.
mid,HK_cost_premium_mid,intermediate generation,gas,gas_int_CC,gas_intermediate_steam_CT,1.4,1.55,1.36,v3_final_recommended_matrix.csv,screening,screening,screening,S_CLP_BLACK_POINT;S_EIA_CAPCOST_2024;S_HKE_LAMMA_GEN,A_GAS_INT_capital;A_GAS_INT_fixed_OM;A_GAS_INT_variable_OM,no,GCAM name ambiguous; CCGT basis used with mapping uncertainty.
high,HK_cost_premium_high,intermediate generation,gas,gas_int_CC,gas_intermediate_steam_CT,1.55,1.6,1.41,v3_final_recommended_matrix.csv,screening,screening,screening,S_CLP_BLACK_POINT;S_EIA_CAPCOST_2024;S_HKE_LAMMA_GEN,A_GAS_INT_capital;A_GAS_INT_fixed_OM;A_GAS_INT_variable_OM,no,GCAM name ambiguous; CCGT basis used with mapping uncertainty.
low,HK_cost_premium_low,intermediate generation,gas,gas_int_CC_CCS,fossil_CCS,1.25,1.2,1.15,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_fossil_CCS,no,Fallback from prior premium-reference MD: fossil/coal CCS; assumption only.
mid,HK_cost_premium_mid,intermediate generation,gas,gas_int_CC_CCS,fossil_CCS,1.375,1.275,1.25,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_fossil_CCS,no,Fallback from prior premium-reference MD: fossil/coal CCS; assumption only.
high,HK_cost_premium_high,intermediate generation,gas,gas_int_CC_CCS,fossil_CCS,1.5,1.35,1.35,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_fossil_CCS,no,Fallback from prior premium-reference MD: fossil/coal CCS; assumption only.
low,HK_cost_premium_low,intermediate generation,refined liquids,refined liquids_int_CC,refined_liquids,1.15,1.1,1,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_refined_liquids,no,Fallback from prior premium-reference MD: refined liquids; assumption only.
mid,HK_cost_premium_mid,intermediate generation,refined liquids,refined liquids_int_CC,refined_liquids,1.225,1.15,1.05,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_refined_liquids,no,Fallback from prior premium-reference MD: refined liquids; assumption only.
high,HK_cost_premium_high,intermediate generation,refined liquids,refined liquids_int_CC,refined_liquids,1.3,1.2,1.1,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_refined_liquids,no,Fallback from prior premium-reference MD: refined liquids; assumption only.
low,HK_cost_premium_low,intermediate generation,refined liquids,refined liquids_int_CC_CCS,refined_liquids_CCS,1.25,1.2,1.15,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_refined_liquids_CCS,no,Fallback from prior premium-reference MD: CCS fossil technology; assumption only.
mid,HK_cost_premium_mid,intermediate generation,refined liquids,refined liquids_int_CC_CCS,refined_liquids_CCS,1.375,1.275,1.25,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_refined_liquids_CCS,no,Fallback from prior premium-reference MD: CCS fossil technology; assumption only.
high,HK_cost_premium_high,intermediate generation,refined liquids,refined liquids_int_CC_CCS,refined_liquids_CCS,1.5,1.35,1.35,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_refined_liquids_CCS,no,Fallback from prior premium-reference MD: CCS fossil technology; assumption only.
low,HK_cost_premium_low,intermediate generation,refined liquids,refined liquids_int_steam/CT,refined_liquids,1.15,1.1,1,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_refined_liquids,no,Fallback from prior premium-reference MD: refined liquids; assumption only.
mid,HK_cost_premium_mid,intermediate generation,refined liquids,refined liquids_int_steam/CT,refined_liquids,1.225,1.15,1.05,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_refined_liquids,no,Fallback from prior premium-reference MD: refined liquids; assumption only.
high,HK_cost_premium_high,intermediate generation,refined liquids,refined liquids_int_steam/CT,refined_liquids,1.3,1.2,1.1,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_refined_liquids,no,Fallback from prior premium-reference MD: refined liquids; assumption only.
low,HK_cost_premium_low,peak generation,coal,coal_peak_conv pul,coal_conv_pul,1.2,1.15,1.1,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_coal_conv_pul,no,Fallback from prior premium-reference MD: coal conventional; assumption only.
mid,HK_cost_premium_mid,peak generation,coal,coal_peak_conv pul,coal_conv_pul,1.3,1.225,1.2,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_coal_conv_pul,no,Fallback from prior premium-reference MD: coal conventional; assumption only.
high,HK_cost_premium_high,peak generation,coal,coal_peak_conv pul,coal_conv_pul,1.4,1.3,1.3,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_coal_conv_pul,no,Fallback from prior premium-reference MD: coal conventional; assumption only.
low,HK_cost_premium_low,peak generation,gas,gas_peak_CC,gas_intermediate_steam_CT,1.25,1.5,1.33,v3_final_recommended_matrix.csv,screening,screening,screening,S_CLP_BLACK_POINT;S_EIA_CAPCOST_2024;S_HKE_LAMMA_GEN,A_GAS_INT_capital;A_GAS_INT_fixed_OM;A_GAS_INT_variable_OM,no,GCAM name ambiguous; CCGT basis used with mapping uncertainty.
mid,HK_cost_premium_mid,peak generation,gas,gas_peak_CC,gas_intermediate_steam_CT,1.4,1.55,1.36,v3_final_recommended_matrix.csv,screening,screening,screening,S_CLP_BLACK_POINT;S_EIA_CAPCOST_2024;S_HKE_LAMMA_GEN,A_GAS_INT_capital;A_GAS_INT_fixed_OM;A_GAS_INT_variable_OM,no,GCAM name ambiguous; CCGT basis used with mapping uncertainty.
high,HK_cost_premium_high,peak generation,gas,gas_peak_CC,gas_intermediate_steam_CT,1.55,1.6,1.41,v3_final_recommended_matrix.csv,screening,screening,screening,S_CLP_BLACK_POINT;S_EIA_CAPCOST_2024;S_HKE_LAMMA_GEN,A_GAS_INT_capital;A_GAS_INT_fixed_OM;A_GAS_INT_variable_OM,no,GCAM name ambiguous; CCGT basis used with mapping uncertainty.
low,HK_cost_premium_low,peak generation,gas,gas_peak_CC_CCS,fossil_CCS,1.25,1.2,1.15,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_fossil_CCS,no,Fallback from prior premium-reference MD: fossil/coal CCS; assumption only.
mid,HK_cost_premium_mid,peak generation,gas,gas_peak_CC_CCS,fossil_CCS,1.375,1.275,1.25,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_fossil_CCS,no,Fallback from prior premium-reference MD: fossil/coal CCS; assumption only.
high,HK_cost_premium_high,peak generation,gas,gas_peak_CC_CCS,fossil_CCS,1.5,1.35,1.35,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_fossil_CCS,no,Fallback from prior premium-reference MD: fossil/coal CCS; assumption only.
low,HK_cost_premium_low,peak generation,gas,gas_peak_steam/CT,gas_intermediate_steam_CT,1.25,1.5,1.33,v3_final_recommended_matrix.csv,screening,screening,screening,S_CLP_BLACK_POINT;S_EIA_CAPCOST_2024;S_HKE_LAMMA_GEN,A_GAS_INT_capital;A_GAS_INT_fixed_OM;A_GAS_INT_variable_OM,no,GCAM name ambiguous; CCGT basis used with mapping uncertainty.
mid,HK_cost_premium_mid,peak generation,gas,gas_peak_steam/CT,gas_intermediate_steam_CT,1.4,1.55,1.36,v3_final_recommended_matrix.csv,screening,screening,screening,S_CLP_BLACK_POINT;S_EIA_CAPCOST_2024;S_HKE_LAMMA_GEN,A_GAS_INT_capital;A_GAS_INT_fixed_OM;A_GAS_INT_variable_OM,no,GCAM name ambiguous; CCGT basis used with mapping uncertainty.
high,HK_cost_premium_high,peak generation,gas,gas_peak_steam/CT,gas_intermediate_steam_CT,1.55,1.6,1.41,v3_final_recommended_matrix.csv,screening,screening,screening,S_CLP_BLACK_POINT;S_EIA_CAPCOST_2024;S_HKE_LAMMA_GEN,A_GAS_INT_capital;A_GAS_INT_fixed_OM;A_GAS_INT_variable_OM,no,GCAM name ambiguous; CCGT basis used with mapping uncertainty.
low,HK_cost_premium_low,peak generation,refined liquids,refined liquids_peak_CC,refined_liquids,1.15,1.1,1,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_refined_liquids,no,Fallback from prior premium-reference MD: refined liquids; assumption only.
mid,HK_cost_premium_mid,peak generation,refined liquids,refined liquids_peak_CC,refined_liquids,1.225,1.15,1.05,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_refined_liquids,no,Fallback from prior premium-reference MD: refined liquids; assumption only.
high,HK_cost_premium_high,peak generation,refined liquids,refined liquids_peak_CC,refined_liquids,1.3,1.2,1.1,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_refined_liquids,no,Fallback from prior premium-reference MD: refined liquids; assumption only.
low,HK_cost_premium_low,peak generation,refined liquids,refined liquids_peak_CC_CCS,refined_liquids_CCS,1.25,1.2,1.15,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_refined_liquids_CCS,no,Fallback from prior premium-reference MD: CCS fossil technology; assumption only.
mid,HK_cost_premium_mid,peak generation,refined liquids,refined liquids_peak_CC_CCS,refined_liquids_CCS,1.375,1.275,1.25,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_refined_liquids_CCS,no,Fallback from prior premium-reference MD: CCS fossil technology; assumption only.
high,HK_cost_premium_high,peak generation,refined liquids,refined liquids_peak_CC_CCS,refined_liquids_CCS,1.5,1.35,1.35,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_refined_liquids_CCS,no,Fallback from prior premium-reference MD: CCS fossil technology; assumption only.
